,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,SolvationFreeEnergy Value (kJ / mol),SolvationFreeEnergy Uncertainty (kJ / mol),Source
0,ecb1bca19f2e4eb085a0541f6a3791a5,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCO,Solute,,1,-19.74848,2.5104,10.1021/ct050097l
2,472d26723d4448088a9cab9430d45610,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCC[N+](=O)[O-],Solute,,1,-11.79888,2.5104,10.1021/ct050097l
3,65670f0c542748648c27faa85a2ff377,298.15,101.325,Liquid,2,O,Solvent,1.0,,OC1CCCCCC1,Solute,,1,-22.928320000000003,2.5104,10.1021/ct050097l
4,c76ccc9c295b414aa226289b177a403d,298.15,101.325,Liquid,2,O,Solvent,1.0,,COC(=O)c1ccc([N+](=O)[O-])cc1,Solute,,1,-28.78592,2.5104,10.1139/v92-210
6,92c28f849adc43899ab9b55c2127afae,298.15,101.325,Liquid,2,O,Solvent,1.0,,CO,Solute,,1,-21.3384,2.5104,10.1021/ct050097l
7,8ef1310798a248d5807d92fe08b70c50,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)(C)O,Solute,,1,-18.70248,2.5104,10.1021/ct050097l
8,4cf04c820b444504be16e942b6cf6ede,298.15,101.325,Liquid,2,O,Solvent,1.0,,C1COCCN1,Solute,,1,-29.99928,2.5104,10.1021/ct050097l
11,6f3f0c29920b4f4a8ecc1c4ba4bd51d1,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1cccc(C)c1O,Solute,,1,-22.00784,2.5104,10.1021/ct050097l
12,be5a504f36b4468ab354dd811729bf2a,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1c[nH]c2ccccc12,Solute,,1,-24.60192,2.5104,10.1021/bi00507a030
14,e67c9b6fb9dd44658bdd141fb6e54c9d,298.15,101.325,Liquid,2,O,Solvent,1.0,,O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,Solute,,1,-85.85568,1.12968,10.1007/s10822-010-9350-8
15,d86c0d9f67144df88d608784e73bfc9f,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC[C@H](C)O,Solute,,1,-19.33008,2.5104,10.1021/ct050097l
16,5356324795134ef593d7d7145db4cc17,298.15,101.325,Liquid,2,O,Solvent,1.0,,CN(C)CCOC(c1ccccc1)c1ccccc1,Solute,,1,-39.07856,2.59408,10.5281/zenodo.596537
17,580f299a816b40d58d9fbfd4e9f618d6,298.15,101.325,Liquid,2,O,Solvent,1.0,,C[N+](=O)[O-],Solute,,1,-16.819679999999998,2.5104,10.1021/ct050097l
18,a7407c10db2747ed8ab9b9a1f6f923db,298.15,101.325,Liquid,2,O,Solvent,1.0,,CNC(C)=O,Solute,,1,-41.84,2.5104,10.1021/ct050097l
19,392ecc7687ce478b8bc676717b827680,298.15,101.325,Liquid,2,O,Solvent,1.0,,Oc1ccccc1,Solute,,1,-27.6144,0.8368000000000001,10.1039/P29900000291
21,b74115adea22496cb56516d0ac9848d6,298.15,101.325,Liquid,2,O,Solvent,1.0,,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,Solute,,1,-45.10352,0.75312,10.1007/s10822-010-9350-8
24,ab61290d35a048088d996a17e602f076,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)CO,Solute,,1,-18.828,2.5104,10.1021/ct050097l
25,0cec33c48512412ba39c29bd43d36f94,298.15,101.325,Liquid,2,O,Solvent,1.0,,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,Solute,,1,-42.71864000000001,0.75312,10.1007/s10822-010-9350-8
26,a7d7a169efc34392b1edf70d6e2b5297,298.15,101.325,Liquid,2,O,Solvent,1.0,,COC(=O)c1ccc(O)cc1,Solute,,1,-39.78984,1.08784,10.1007/s10822-010-9350-8
27,9b7aa5d580c34cf6bfe56fd775c8b62c,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCO,Solute,,1,-20.92,2.5104,10.1021/ct050097l
30,18e9837d5ca4474a987573127633d5c1,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCN,Solute,,1,-18.828,2.5104,10.1021/ct050097l
31,165e868c2efe4279aaed6a9d5ef80d74,298.15,101.325,Liquid,2,O,Solvent,1.0,,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,Solute,,1,-49.5804,1.4644,10.5281/zenodo.596537
33,6bf8b47d028a43879994a3577a319d4e,298.15,101.325,Liquid,2,O,Solvent,1.0,,O=[N+]([O-])OCCCO[N+](=O)[O-],Solute,,1,-20.0832,1.63176,10.5281/zenodo.596537
35,f14dd22b560e43b6a97bb2662cda7bb9,298.15,101.325,Liquid,2,O,Solvent,1.0,,N#Cc1cccc(O)c1,Solute,,1,-40.375600000000006,2.5104,10.1021/ct050097l
36,a7bb59c36c1f43d39756680329577273,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(=O)N1CCCC1,Solute,,1,-41.00320000000001,2.5104,10.1021/ct050097l
38,1a8de41b5d36431ebcc7a47fbab7f2ff,298.15,101.325,Liquid,2,O,Solvent,1.0,,CN1CCNCC1,Solute,,1,-32.50968,2.5104,10.1021/ct050097l
39,4a97883ea3ec425ba7dd3ecd09457805,298.15,101.325,Liquid,2,O,Solvent,1.0,,O=C1NC(=O)c2ccccc21,Solute,,1,-40.20824,2.092,10.1007/s10822-010-9350-8
40,281bca0926004769bea0062c0d05bda9,298.15,101.325,Liquid,2,O,Solvent,1.0,,c1cc[nH]c1,Solute,,1,-19.99952,2.5104,10.1021/ct050097l
41,c11fa9a21d4743f282446b94d678d1b8,298.15,101.325,Liquid,2,O,Solvent,1.0,,O=Cc1ccccc1O,Solute,,1,-19.58112,0.4184,10.5281/zenodo.596537
42,1fc06ddd5fe14fbab2f47159eeae9f7a,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCC[C@@H](C)O,Solute,,1,-18.36776,2.5104,10.1021/ct050097l
44,81b2f325de83448b97ff568f7cc4e694,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(=O)Oc1ccccc1C(=O)O,Solute,,1,-41.58896,0.75312,10.1007/s10822-010-9350-8
46,87e3495e4aa34528a8eed6c6f2f9d101,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1ccc(O)cc1,Solute,,1,-25.64792,2.5104,10.1021/ct050097l
47,7ef775f68b504a77bd6f6ddfdbfdc664,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)CC(=O)O,Solute,,1,-25.48056,2.5104,10.1021/ct050097l
48,adcf1f709dc2497983409fcd755c8952,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCNCCC,Solute,,1,-15.2716,2.5104,10.1021/ct050097l
49,08799737d5294862af9cd80d6d495409,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(=O)O,Solute,,1,-27.99096,2.5104,10.1021/ct050097l
51,fa979c6d4fab497ba62155a152f48eb5,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1ccc(C)c(O)c1,Solute,,1,-24.72744,2.5104,10.1021/ct050097l
55,942206863a434a3fbdcec3507a6833c1,298.15,101.325,Liquid,2,O,Solvent,1.0,,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],Solute,,1,-20.710800000000003,0.4184,10.1021/jp806724u
56,3a4d2635b5b04fbc85bd41d006036cc7,298.15,101.325,Liquid,2,O,Solvent,1.0,,OCC(O)CO,Solute,,1,-56.19112,4.184,10.1007/s10822-010-9350-8
60,708d119cda2e4a1fafdd7f0c999db34d,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCCCCCO,Solute,,1,-16.23392,2.5104,10.1021/ct050097l
61,2dde86c0f53243d4865be14a87da3bb6,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCC(C)(C)O,Solute,,1,-16.40128,2.5104,10.1021/ct050097l
63,e708358e234848e6be5cb7d91319866e,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCCO,Solute,,1,-18.4096,2.5104,10.1021/ct050097l
67,868e8234a38e4da28c1b3d6cd8d723e5,298.15,101.325,Liquid,2,O,Solvent,1.0,,Nc1cccc([N+](=O)[O-])c1,Solute,,1,-36.98656,2.5104,10.1021/ct050097l
68,d1160cbc329c4b49b9bb33ccece7c60d,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCCO[N+](=O)[O-],Solute,,1,-6.94544,0.4184,10.5281/zenodo.596537
69,36839e50573641d48743edaf4535d1f9,298.15,101.325,Liquid,2,O,Solvent,1.0,,Nc1cccc2ccccc12,Solute,,1,-30.45952,2.5104,10.1021/ct050097l
71,9fbee1b406494e71b3e028a37d3a7945,298.15,101.325,Liquid,2,O,Solvent,1.0,,CN1CCN(C)CC1,Solute,,1,-31.71472,2.5104,10.1139/v91-2
72,9812eb87b3b84bbab187ffade0b96fe9,298.15,101.325,Liquid,2,O,Solvent,1.0,,CN(C)C(=O)c1ccccc1,Solute,,1,-38.86936,2.5104,10.1139/v92-210
73,a49ce0a8990c4fd7b68d1ca33b088e03,298.15,101.325,Liquid,2,O,Solvent,1.0,,O=[N+]([O-])c1ccccc1,Solute,,1,-17.23808,2.5104,10.1021/ct050097l
76,75d722bf614a4529946ddbf8effd38f0,298.15,101.325,Liquid,2,O,Solvent,1.0,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,Solute,,1,-98.82608,1.33888,10.5281/zenodo.596537
77,bffa0dcc2d424fd7b718e1ecf880b6ab,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCOC(=O)c1ccc(O)cc1,Solute,,1,-38.4928,1.2552,10.1007/s10822-010-9350-8
78,b09df251d93449a98b551b2409f60b69,298.15,101.325,Liquid,2,O,Solvent,1.0,,c1ccc(Cn2ccnc2)cc1,Solute,,1,-31.923920000000003,0.50208,10.5281/zenodo.596537
79,4da52e2db3b44a25a81ee8a6bc9b1c8f,298.15,101.325,Liquid,2,O,Solvent,1.0,,OCCO,Solute,,1,-38.91120000000001,2.5104,10.1021/ct050097l
80,a4ca69b586944274bf0afa6dbac66935,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCc1ccc(O)cc1,Solute,,1,-21.79864,2.88696,10.1021/je00018a020
83,1864970b36a049afa73ab40c645c7307,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCC(=O)O,Solute,,1,-25.77344,2.5104,10.1021/ct050097l
84,f4d99c42253948198ac525afbf9d8a89,298.15,101.325,Liquid,2,O,Solvent,1.0,,COc1cccc(OC)c1O,Solute,,1,-29.12064,0.4184,10.5281/zenodo.596537
86,36b04b128fe34f7fb58e6a8966715eca,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1cccc(Nc2ccccc2C(=O)O)c1C,Solute,,1,-28.367520000000003,0.4184,10.5281/zenodo.596537
89,aedd681f87dc433b8a3a1ec813817d18,298.15,101.325,Liquid,2,O,Solvent,1.0,,O=[N+]([O-])c1ccccc1O,Solute,,1,-19.16272,2.5104,10.1021/ct050097l
91,329943cd9fab4f92af7fbadf66589f2c,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCCCO,Solute,,1,-17.61464,2.5104,10.1021/ct050097l
92,c9da84ee26424b738b7e0232aced625e,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)C[C@@H](C)O,Solute,,1,-15.60632,2.5104,10.1021/ct050097l
93,b4b06c83558244d099e6beb80ca049b1,298.15,101.325,Liquid,2,O,Solvent,1.0,,O=[N+]([O-])OCCO[N+](=O)[O-],Solute,,1,-23.97432,0.4184,10.1021/jp806724u
96,f6bbc7621f324028a72e981b9474b6af,298.15,101.325,Liquid,2,O,Solvent,1.0,,CN(C)c1ccccc1,Solute,,1,-14.4348,2.5104,10.1021/ct050097l
98,a92976eae76b43bd8b1db47b49659a3b,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cn1ccnc1,Solute,,1,-35.18744,2.5104,10.1021/ct050097l
99,b577fd71a8ac4212aeac5bef40b8a755,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1ccc(N)cc1,Solute,,1,-23.30488,2.5104,10.1021/ct050097l
100,1d51b8bb847b4e13a00b9f5f6ce5a709,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1cccc(C)c1N,Solute,,1,-21.79864,2.5104,10.1021/ct050097l
105,7fa272de03fd40c59048540685769d35,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1ccccc1[N+](=O)[O-],Solute,,1,-14.97872,2.5104,10.1021/ct050097l
106,1ec6181e62eb4e7ba73948cb3e6a972b,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCO,Solute,,1,-19.120880000000003,2.5104,10.1021/ct050097l
107,c67ca2a21007466ea5b2852856f3a611,298.15,101.325,Liquid,2,O,Solvent,1.0,,COCCO,Solute,,1,-27.69808,1.6736000000000002,10.1007/BF00646936 + 10.1136/oem.45.8.561
108,c06e194458f645099ded8d4232de6741,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCOCCO,Solute,,1,-26.15,2.5104,10.1021/ct050097l
109,f61bb6ffc2f543789f2fe3119eeb5a6e,298.15,101.325,Liquid,2,O,Solvent,1.0,,COc1cc(C)ccc1O,Solute,,1,-24.2672,0.4184,10.5281/zenodo.596537
110,1c841b7b5d6349d495ad287ba1889b54,298.15,101.325,Liquid,2,O,Solvent,1.0,,Nc1ccccc1[N+](=O)[O-],Solute,,1,-30.836080000000003,2.5104,10.1021/ct050097l
111,eb8052d711584c64bc7ad25976988e28,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)CCO,Solute,,1,-18.49328,2.5104,10.1021/ct050097l
112,6c1b0fb8ce8b4113ba13ccc03c6dabcd,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCC[N+](=O)[O-],Solute,,1,-12.92856,2.5104,10.1021/ct050097l
113,80f6498a30524d7080a7def35980f267,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCCN,Solute,,1,-16.5268,2.5104,10.1021/ct050097l
114,98df7469855b4e03b9c2e291b83af15c,298.15,101.325,Liquid,2,O,Solvent,1.0,,Nc1ccc([N+](=O)[O-])cc1,Solute,,1,-41.08688,0.4184,10.1007/s10822-010-9350-8
115,7c1ad3d6f11f4424ba07bbb788d06d82,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCOC(=O)c1ccc(O)cc1,Solute,,1,-39.20408,0.92048,10.1007/s10822-010-9350-8
116,046b714f4d2147239de5f50638ebc92f,298.15,101.325,Liquid,2,O,Solvent,1.0,,O=c1[nH]c(=O)[nH]c(=O)[nH]1,Solute,,1,-75.56304,1.12968,10.1007/s10822-010-9350-8
117,3e71ffdcc2854ad182d1aee867c508e8,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCCCCN,Solute,,1,-15.2716,2.5104,10.1021/ct050097l
118,8a35ec965f234f1a8aac41dc9b42769b,298.15,101.325,Liquid,2,O,Solvent,1.0,,C1CNC1,Solute,,1,-23.26304,2.5104,10.1021/ct050097l
119,9c4a2620f5b341c492ae1845bb1001dd,298.15,101.325,Liquid,2,O,Solvent,1.0,,C1CCNCC1,Solute,,1,-21.38024,2.5104,10.1021/ct050097l
120,5088efa3df9d4ec3bb3289724a82ddb5,298.15,101.325,Liquid,2,O,Solvent,1.0,,CN1CCCCC1,Solute,,1,-16.23392,2.5104,10.1021/ct050097l
123,96ebb9ff1f064f2e883c05780a04c8b2,298.15,101.325,Liquid,2,O,Solvent,1.0,,CN,Solute,,1,-19.0372,2.5104,10.1021/ct050097l
124,22e78cb255144d72a23ef9778717d835,298.15,101.325,Liquid,2,O,Solvent,1.0,,O=[N+]([O-])OCCO,Solute,,1,-34.22512,0.4184,10.1021/jp806724u
127,338e5b63982f4fdb9f816a6e865cf46f,298.15,101.325,Liquid,2,O,Solvent,1.0,,COCCN,Solute,,1,-27.4052,2.5104,10.1021/ct050097l
128,dd18084d097d46f5959205812cae7b3c,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1cc(C)cc(O)c1,Solute,,1,-26.23368,2.5104,10.1021/ct050097l
129,5b2f2b0becf54ca280bef6878a0d1998,298.15,101.325,Liquid,2,O,Solvent,1.0,,OC1CCCCC1,Solute,,1,-22.84464,2.5104,10.1021/ct050097l
130,9aac1897dd6247058173e5e2d8c7ebb2,298.15,101.325,Liquid,2,O,Solvent,1.0,,Oc1cccc2ccccc12,Solute,,1,-32.09128,2.5104,10.1021/ct050097l
131,8ab2747504d54822a93bcc65aa0d53c2,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCN,Solute,,1,-17.11256,2.5104,10.1021/ct050097l
132,51470e75d5124be2aa78c64834d2dca0,298.15,101.325,Liquid,2,O,Solvent,1.0,,O=[N+]([O-])c1cccc(O)c1,Solute,,1,-40.25008,2.5104,10.1021/ct050097l
134,aa68ffc9358140be9619d7ede93a9676,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCC(N)=O,Solute,,1,-38.95304,2.5104,10.1021/ct050097l
135,51ecabac30234125a7b1361a6a2f6df2,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCC(O)CC,Solute,,1,-18.2004,2.5104,10.1021/ct050097l
138,99a6b3448bc44fd2921d5c204f068b13,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)O,Solute,,1,-19.83216,2.5104,10.1021/ct050097l
140,2c6aeea18f99404aba43d8a76f0cea5d,298.15,101.325,Liquid,2,O,Solvent,1.0,,CN(C)C(=O)c1ccc([N+](=O)[O-])cc1,Solute,,1,-49.9988,2.5104,10.1139/v92-210
141,229823d55c5442efa34560109a1994a1,298.15,101.325,Liquid,2,O,Solvent,1.0,,OCCCc1ccccc1,Solute,,1,-28.95328,2.5104,10.1021/ct050097l
143,f1d2480efd294de8aa4c36a645f96b27,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC[C@@H](O)C(C)C,Solute,,1,-16.23392,2.5104,10.1021/ct050097l
146,68d4ad02c3bb4a65b8af87749c268554,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCC(=O)O,Solute,,1,-27.02864,2.5104,10.1021/ct050097l
147,44118a3844ad4280b1444d6a5b5a2a7c,298.15,101.325,Liquid,2,O,Solvent,1.0,,CNc1ccccc1,Solute,,1,-19.622960000000003,2.5104,10.1021/ct050097l
149,9edfa697a13c44b5811a3446f4fe730b,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC[C@H](C)O[N+](=O)[O-],Solute,,1,-7.61488,0.4184,10.1021/jp806724u
150,80c88f8bd60e4ab4ba8fdfadedb737ad,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCOC(=O)c1ccc(O)cc1,Solute,,1,-36.484480000000005,1.12968,10.1007/s10822-010-9350-8
153,79259878046349149c785562c15a8e78,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC[C@@H](C)CO,Solute,,1,-18.49328,2.5104,10.1021/ct050097l
155,2878cad4922a4378966f3072980f123b,298.15,101.325,Liquid,2,O,Solvent,1.0,,CN(C)C=O,Solute,,1,-32.67704,2.5104,10.1021/ct050097l
156,124cee0cc9f84a7d949d07a4244c7798,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(N)=O,Solute,,1,-40.62664,2.5104,10.1021/ct050097l
158,908102425a7a45598bf0413b1c22efd9,298.15,101.325,Liquid,2,O,Solvent,1.0,,C=CCO,Solute,,1,-21.045520000000003,2.5104,10.1021/ct050097l
159,0afed939f9ea4309afd5318723828646,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)=CCC/C(C)=C/CO,Solute,,1,-18.6188,1.00416,10.5281/zenodo.596537
161,a66666f612e444168caeec163650baf2,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC[N+](=O)[O-],Solute,,1,-15.52264,2.5104,10.1021/ct050097l
162,4852fafb8dcf43bb95cdbda55b8f448a,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,Solute,,1,-13.388800000000002,1.17152,10.5281/zenodo.596537
163,7b04d7365da547c59935fc20a8fe73bb,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCNCC,Solute,,1,-17.02888,2.5104,10.1021/ct050097l
165,654778da43be42ebba0a27514623e933,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCN(CC)CC,Solute,,1,-13.47248,2.5104,10.1021/ct050097l
166,d28cdf8f497947d8a29848b7a695c2a1,298.15,101.325,Liquid,2,O,Solvent,1.0,,CN1CCOCC1,Solute,,1,-26.44288,2.5104,10.1021/ct050097l
167,4b3c1389665043a3ae914f104f08a041,298.15,101.325,Liquid,2,O,Solvent,1.0,,Cc1cccc(O)c1,Solute,,1,-22.970160000000003,2.5104,10.1021/ct050097l
168,bc89eebe6d4c4dbd963fd24439a6d6a2,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)NC(C)C,Solute,,1,-13.47248,2.5104,10.1021/ct050097l
169,04aa1d95abcd49ca8108efd6db307b26,298.15,101.325,Liquid,2,O,Solvent,1.0,,OC1CCCC1,Solute,,1,-22.970160000000003,2.5104,10.1021/ct050097l
172,39b20955a39147cba204d3ad98a6a250,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCN,Solute,,1,-18.36776,2.5104,10.1021/ct050097l
175,b2453bfe3643406d9265770dafc0e184,298.15,101.325,Liquid,2,O,Solvent,1.0,,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,Solute,,1,-106.56648,0.92048,10.1007/s10822-010-9350-8
176,7748c9fbaa194e19a171d475000f1bf5,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCOCCO,Solute,,1,-27.99096,2.5104,10.1021/ct050097l
177,e48bd146e7ef4db991522b9c014aa36d,298.15,101.325,Liquid,2,O,Solvent,1.0,,C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1,Solute,,1,-18.576960000000003,1.79912,10.5281/zenodo.596537
178,4ed0965180014f9fa75cca07b817e74e,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)[N+](=O)[O-],Solute,,1,-13.09592,2.5104,10.1021/ct050097l
179,9168e9146f14436087a88e2b3e1223fe,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCC[N+](=O)[O-],Solute,,1,-13.97456,2.5104,10.1021/ct050097l
180,1f83ad0e2ccb411389819595dcd95ae1,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCN,Solute,,1,-17.740160000000003,2.5104,10.1021/ct050097l
181,bf085ae5fde241f78114d4ddd581d45b,298.15,101.325,Liquid,2,O,Solvent,1.0,,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],Solute,,1,-17.949360000000002,1.63176,10.5281/zenodo.596537
182,4076d82b0d3d466d926770384597de64,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCC(C)(C)O,Solute,,1,-18.53512,2.5104,10.1021/ct050097l
183,fd6772cd5abe441db1126dc43917d63c,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)=CCC/C(C)=C\CO,Solute,,1,-19.99952,1.046,10.5281/zenodo.596537
